id,title,genres,averageRating,numVotes,releaseYear
tt1620680,"A Wrinkle in Time","Adventure, Drama, Family",4.3,48323,2018
tt3089630,"Artemis Fowl","Adventure, Family, Fantasy",4.3,30732,2020
tt4030600,"The Bye Bye Man","Drama, Fantasy, Horror",4.3,26558,2017
tt2515086,"One Direction: This Is Us","Documentary, Music",4.3,25108,2013
tt0844760,"Starship Troopers 3: Marauder","Action, Adventure, Sci-Fi",4.3,24849,2008
tt0422774,"Are We Done Yet?","Comedy, Family",4.3,22887,2007
tt0319931,"American Idol","Documentary, Game-Show, Music",4.3,22347,2002
tt1577061,"Recep Ivedik 3",Comedy,4.3,21690,2010
tt0131704,"The Adventures of Rocky & Bullwinkle","Adventure, Comedy, Family",4.3,21384,2000
tt9649436,Enaaya,"Musical, Romance",4.3,20092,2019
tt1392197,Marmaduke,"Comedy, Family",4.3,17844,2010
tt0131646,"Wing Commander","Action, Adventure, Sci-Fi",4.3,17586,1999
tt6494418,Siberia,"Crime, Drama, Romance",4.3,17455,2018
tt13634480,"The Ice Age Adventures of Buck Wild","Adventure, Animation, Comedy",4.3,17322,2022
tt4019560,Exposed,"Crime, Drama, Mystery",4.3,17150,2016
tt0997047,"College Road Trip","Adventure, Comedy, Drama",4.3,16844,2008
tt3838992,"Yoga Hosers","Action, Comedy, Horror",4.3,15790,2016
tt0961722,"Cabin Fever 2: Spring Fever",Horror,4.3,15449,2009
tt1519461,"Area 51","Horror, Mystery, Sci-Fi",4.3,15368,2015
tt0167456,Thunderbirds,"Action, Adventure, Comedy",4.3,14635,2004
tt1320304,"30 Days of Night: Dark Days","Horror, Thriller",4.3,14505,2010
tt4824308,"God's Not Dead 2",Drama,4.3,13743,2016
tt0790804,"The Comebacks","Comedy, Sport",4.3,12133,2007
tt6003368,"Diary of a Wimpy Kid: The Long Haul","Adventure, Comedy, Family",4.3,11351,2017
tt1935302,"Monsters: Dark Continent","Action, Drama, Sci-Fi",4.3,11304,2014
tt10098288,Roohi,"Comedy, Horror",4.3,11176,2021
tt13322120,"American Sicario","Action, Crime, Drama",4.3,10912,2021
tt0190524,"Left Behind: The Movie","Action, Drama, Fantasy",4.3,10726,2000
tt3803860,Puli,"Action, Adventure, Fantasy",4.3,10601,2015
tt4575328,"2036 Origin Unknown","Action, Sci-Fi, Thriller",4.3,10173,2018
tt1333125,"Movie 43",Comedy,4.4,114353,2013
tt14954666,"The Idol","Drama, Music",4.4,112602,2023
tt1467304,"The Human Centipede (First Sequence)",Horror,4.4,89874,2009
tt0370032,Ultraviolet,"Action, Sci-Fi",4.4,84583,2006
tt0338459,"Spy Kids 3: Game Over","Action, Adventure, Comedy",4.4,67561,2003
tt1592873,LOL,"Comedy, Drama, Romance",4.4,58582,2012
tt10155932,Cinderella,"Comedy, Family, Fantasy",4.4,47792,2021
tt0105477,"Stop! Or My Mom Will Shoot","Action, Comedy",4.4,45357,1992
tt0430912,"Basic Instinct 2","Drama, Mystery, Thriller",4.4,42086,2006
tt3450650,"Paul Blart: Mall Cop 2","Action, Comedy, Crime",4.4,41956,2015
tt1615918,"Alvin and the Chipmunks: Chipwrecked","Adventure, Comedy, Family",4.4,40713,2011
tt0098105,"Police Academy 6: City Under Siege","Comedy, Crime",4.4,33670,1989
tt0107438,"Look Who's Talking Now","Comedy, Family, Romance",4.4,31329,1993
tt0775440,Cell,"Action, Adventure, Horror",4.4,31192,2016
